,,,,Price
,,,,mean
City,Latitude,Longitude,Zip_Code,
Adamsville,33.520680000000034,-86.81175999999995,35006,115000.0
Adamsville,33.53221000000008,-86.99630999999994,35005,115334.4827586207
Adger,33.469838066241785,-86.97306427774134,35023,155900.0
Adger,33.520680000000034,-86.81175999999995,35006,80967.14285714286
Alabaster,33.520680000000034,-86.81175999999995,35007,298403.56701030926
Alabaster,33.520680000000034,-86.81175999999995,35051,1100000.0
Alabaster,33.520680000000034,-86.81175999999995,35114,250014.2857142857
Ashville,33.520680000000034,-86.81175999999995,35953,154656.56578947368
Bessemer,33.410996423715034,-86.90210606951142,35022,384730.78571428574
Bessemer,33.44012731247806,-86.93374787180235,35020,96909.76829268293
Bessemer,33.469838066241785,-86.97306427774134,35023,164463.2258064516
Bessemer,33.49131200000005,-86.72123859999995,35223,599900.0
Bessemer,33.519490000000076,-86.80915999999996,35203,161900.0
Birmingham,33.35210467400003,-86.84716887799999,35244,1082450.0
Birmingham,33.393362800000034,-86.85278759999994,35226,369000.0
Birmingham,33.39727620000008,-86.68311079999997,35242,1426330.9523809524
Birmingham,33.410996423715034,-86.90210606951142,35022,256276.66666666666
Birmingham,33.417701400000055,-86.78756219999997,35216,236783.33333333334
Birmingham,33.441190000000056,-86.73712575699993,35243,412308.3333333333
Birmingham,33.442182600000024,-86.92437479999997,35228,67081.25
Birmingham,33.451265000000035,-86.90003499999996,35221,35926.666666666664
Birmingham,33.461235000000045,-86.86026499999996,35211,149449.37647058823
Birmingham,33.46438500000005,-86.82058040299995,35209,637755.4444444445
Birmingham,33.471071935354836,-86.97418531214586,35127,100000.0
Birmingham,33.48483814308948,-86.9047399829062,35064,88900.0
Birmingham,33.49131200000005,-86.72123859999995,35223,484990.0
Birmingham,33.494755000000055,-86.81235999999996,35205,309619.60784313723
Birmingham,33.500212600000054,-86.87447449999996,35208,85918.7375
Birmingham,33.507205000000056,-86.89489499999996,35218,110144.73684210527
Birmingham,33.507393300000054,-86.74032389999996,35213,563770.0
Birmingham,33.508075000000076,-86.80417999999996,35233,291145.45454545453
Birmingham,33.512904500000054,-86.92607539999996,35224,63883.892857142855
Birmingham,33.519490000000076,-86.80915999999996,35203,680310.0
Birmingham,33.520680000000034,-86.81175999999995,35043,1650000.0
Birmingham,33.520680000000034,-86.81175999999995,35071,160000.0
Birmingham,33.520680000000034,-86.81175999999995,35073,15500.0
Birmingham,33.522015000000074,-86.84558999999996,35204,100094.28571428571
Birmingham,33.522546400000074,-86.76820149999998,35222,310506.10204081633
Birmingham,33.532384585062516,-86.99675362257753,35118,98325.0
Birmingham,33.54345700000005,-86.80233949999996,35234,211400.0
Birmingham,33.54713730000003,-86.67295219999994,35210,300057.6923076923
Birmingham,33.548406300000075,-86.74946239999996,35212,196758.09302325582
Birmingham,33.565025000000055,-86.81522499999994,35207,65905.88235294117
Birmingham,33.565800000000024,-86.71309499999997,35206,119161.24050632911
Birmingham,33.57232400000004,-86.89077649999996,35214,108174.01694915254
Birmingham,33.60107925493589,-86.85563330164105,35068,29900.0
Birmingham,33.60569103200004,-86.75777999999997,35217,127685.09756097561
Birmingham,33.623185000000035,-86.64953499999996,35235,280133.6956521739
Birmingham,33.64139000000006,-86.69831499999998,35215,189917.02127659574
Blount Springs,33.520680000000034,-86.81175999999995,35079,20285.714285714286
Blountsville,33.520680000000034,-86.81175999999995,35031,202779.7037037037
Brent,33.520680000000034,-86.81175999999995,35034,211565.0
Brierfield,33.520680000000034,-86.81175999999995,35035,373950.0
Brighton,33.44012731247806,-86.93374787180235,35020,7500.0
Brookwood,33.520680000000034,-86.81175999999995,35111,550000.0
Cahaba Heights,33.417701400000055,-86.78756219999997,35216,185000.0
Calera,33.520680000000034,-86.81175999999995,35040,369395.7878787879
Carbon Hill,33.520680000000034,-86.81175999999995,35549,1700000.0
Center Point,33.64139000000006,-86.69831499999998,35215,167401.3142857143
Centreville,32.95366362138794,-87.14511241355787,35042,176000.0
Centreville,33.520680000000034,-86.81175999999995,35034,199500.0
Chelsea,33.520680000000034,-86.81175999999995,35043,557764.2
Chelsea,33.520680000000034,-86.81175999999995,35051,74966.66666666667
Chelsea,33.520680000000034,-86.81175999999995,35078,635000.0
Chelsea,33.520680000000034,-86.81175999999995,35147,190850.0
Chelsea,33.520680000000034,-86.81175999999995,35186,830500.0
Chula Vista,33.515555449090165,-86.62182657871547,35094,750000.0
Clanton,33.520680000000034,-86.81175999999995,35045,334474.7373737374
Clanton,33.520680000000034,-86.81175999999995,35046,192125.20547945207
Clanton,33.520680000000034,-86.81175999999995,36091,339000.0
Clay,33.64139000000006,-86.69831499999998,35215,216900.0
Clay,33.67726577594485,-86.68162124818123,35126,349600.0
Cleveland,33.520680000000034,-86.81175999999995,35049,112875.0
Columbiana,33.520680000000034,-86.81175999999995,35051,284451.3164556962
Columbiana,33.520680000000034,-86.81175999999995,35078,189900.0
Cordova,33.520680000000034,-86.81175999999995,35550,53120.0
Cropwell,33.520680000000034,-86.81175999999995,35054,320447.16279069765
Docena,33.520680000000034,-86.81175999999995,35060,29950.0
Docena,33.60569103200004,-86.75777999999997,35217,24900.0
Dolomite,33.46817760282261,-86.95944623626622,35061,52860.0
Dora,33.520680000000034,-86.81175999999995,35062,137354.26829268291
Empire,33.520680000000034,-86.81175999999995,35063,162662.5
Fairfield,33.48483814308948,-86.9047399829062,35064,61947.117647058825
Fairfield,33.60569103200004,-86.75777999999997,35217,44000.0
Fultondale,33.60107925493589,-86.85563330164105,35068,179631.22093023255
