Zip_Code,City,Price,Latitude,Longitude
35004,Moody,2500000,33.52068000000003,-86.81175999999994
35004,Leeds,1410000,33.52068000000003,-86.81175999999994
35004,Moody,1400000,33.52068000000003,-86.81175999999994
35004,Moody,595000,33.52068000000003,-86.81175999999994
35004,Moody,469000,33.52068000000003,-86.81175999999994
35004,Moody,425000,33.52068000000003,-86.81175999999994
35004,Moody,399900,33.52068000000003,-86.81175999999994
35004,Moody,395000,33.52068000000003,-86.81175999999994
35004,Moody,395000,33.52068000000003,-86.81175999999994
35004,Moody,360700,33.52068000000003,-86.81175999999994
35004,Moody,356800,33.52068000000003,-86.81175999999994
35004,Moody,350000,33.52068000000003,-86.81175999999994
35004,Moody,348900,33.52068000000003,-86.81175999999994
35004,Moody,345700,33.52068000000003,-86.81175999999994
35004,Moody,329700,33.52068000000003,-86.81175999999994
35004,Moody,328710,33.52068000000003,-86.81175999999994
35004,Moody,326700,33.52068000000003,-86.81175999999994
35004,Moody,319900,33.52068000000003,-86.81175999999994
35004,Moody,318750,33.52068000000003,-86.81175999999994
35004,Moody,315000,33.52068000000003,-86.81175999999994
35004,Moody,310000,33.52068000000003,-86.81175999999994
35004,Moody,302300,33.52068000000003,-86.81175999999994
35004,Moody,301700,33.52068000000003,-86.81175999999994
35004,Moody,300900,33.52068000000003,-86.81175999999994
35004,Moody,300333,33.52068000000003,-86.81175999999994
35004,Moody,299950,33.52068000000003,-86.81175999999994
35004,Moody,297606,33.52068000000003,-86.81175999999994
35004,Moody,297175,33.52068000000003,-86.81175999999994
35004,Moody,296900,33.52068000000003,-86.81175999999994
35004,Moody,296860,33.52068000000003,-86.81175999999994
35004,Moody,296100,33.52068000000003,-86.81175999999994
35004,Moody,293890,33.52068000000003,-86.81175999999994
35004,Moody,292400,33.52068000000003,-86.81175999999994
35004,Moody,289900,33.52068000000003,-86.81175999999994
35004,Moody,287100,33.52068000000003,-86.81175999999994
35004,Moody,286900,33.52068000000003,-86.81175999999994
35004,Moody,285475,33.52068000000003,-86.81175999999994
35004,Moody,284900,33.52068000000003,-86.81175999999994
35004,Moody,284900,33.52068000000003,-86.81175999999994
35004,Moody,283745,33.52068000000003,-86.81175999999994
35004,Moody,281055,33.52068000000003,-86.81175999999994
35004,Moody,279900,33.52068000000003,-86.81175999999994
35004,Moody,278815,33.52068000000003,-86.81175999999994
35004,Moody,276140,33.52068000000003,-86.81175999999994
35004,Moody,275000,33.52068000000003,-86.81175999999994
35004,Moody,273013,33.52068000000003,-86.81175999999994
35004,Moody,269900,33.52068000000003,-86.81175999999994
35004,Moody,269900,33.52068000000003,-86.81175999999994
35004,Moody,269225,33.52068000000003,-86.81175999999994
35004,Moody,267500,33.52068000000003,-86.81175999999994
35004,Moody,256900,33.52068000000003,-86.81175999999994
35004,Moody,255000,33.52068000000003,-86.81175999999994
35004,Moody,252900,33.52068000000003,-86.81175999999994
35004,Moody,248600,33.52068000000003,-86.81175999999994
35004,Moody,244900,33.52068000000003,-86.81175999999994
35004,Moody,239000,33.52068000000003,-86.81175999999994
35004,Moody,224000,33.52068000000003,-86.81175999999994
35004,Moody,210000,33.52068000000003,-86.81175999999994
35004,Moody,200000,33.52068000000003,-86.81175999999994
35004,Moody,199900,33.52068000000003,-86.81175999999994
35004,Moody,199000,33.52068000000003,-86.81175999999994
35004,Moody,197000,33.52068000000003,-86.81175999999994
35004,Moody,195000,33.52068000000003,-86.81175999999994
35004,Moody,192000,33.52068000000003,-86.81175999999994
35004,Moody,189900,33.52068000000003,-86.81175999999994
35004,Moody,189900,33.52068000000003,-86.81175999999994
35004,Moody,189900,33.52068000000003,-86.81175999999994
35004,Moody,189900,33.52068000000003,-86.81175999999994
35004,Moody,189900,33.52068000000003,-86.81175999999994
35004,Moody,189900,33.52068000000003,-86.81175999999994
35004,Moody,189900,33.52068000000003,-86.81175999999994
35004,Moody,185000,33.52068000000003,-86.81175999999994
35004,Moody,184000,33.52068000000003,-86.81175999999994
35004,Moody,182500,33.52068000000003,-86.81175999999994
35004,Moody,179900,33.52068000000003,-86.81175999999994
35004,Moody,179900,33.52068000000003,-86.81175999999994
35004,Moody,179900,33.52068000000003,-86.81175999999994
35004,Moody,179900,33.52068000000003,-86.81175999999994
35004,Moody,179900,33.52068000000003,-86.81175999999994
35004,Moody,179900,33.52068000000003,-86.81175999999994
35004,Moody,175500,33.52068000000003,-86.81175999999994
35004,Moody,175000,33.52068000000003,-86.81175999999994
35004,Moody,175000,33.52068000000003,-86.81175999999994
35004,Moody,174900,33.52068000000003,-86.81175999999994
35004,Moody,174900,33.52068000000003,-86.81175999999994
35004,Moody,174900,33.52068000000003,-86.81175999999994
35004,Moody,174900,33.52068000000003,-86.81175999999994
35004,Moody,172500,33.52068000000003,-86.81175999999994
35004,Moody,169900,33.52068000000003,-86.81175999999994
35004,Moody,169900,33.52068000000003,-86.81175999999994
35004,Moody,165900,33.52068000000003,-86.81175999999994
35004,Moody,149900,33.52068000000003,-86.81175999999994
35004,Moody,106000,33.52068000000003,-86.81175999999994
35004,Moody,104900,33.52068000000003,-86.81175999999994
35004,Moody,100000,33.52068000000003,-86.81175999999994
35004,Moody,88000,33.52068000000003,-86.81175999999994
35004,Moody,79900,33.52068000000003,-86.81175999999994
35004,Moody,49900,33.52068000000003,-86.81175999999994
35004,Moody,48500,33.52068000000003,-86.81175999999994
35005,Adamsville,799900,33.53221000000008,-86.99630999999994
35005,Adamsville,485000,33.53221000000008,-86.99630999999994
35005,Adamsville,350000,33.53221000000008,-86.99630999999994
