Unnamed: 0,City,Latitude,Longitude,Zip_Code,Avg_Price,Cluster_Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,Price_Categories,Cluster_Category
42,Birmingham,33.565025000000055,-86.81522499999994,35207,65905.88,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
43,Birmingham,33.565800000000024,-86.71309499999997,35206,119161.24,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
44,Birmingham,33.57232400000004,-86.89077649999996,35214,108174.02,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
45,Birmingham,33.60107925493589,-86.85563330164105,35068,29900.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
46,Birmingham,33.60569103200004,-86.75777999999997,35217,127685.1,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
47,Birmingham,33.623185000000035,-86.64953499999996,35235,280133.7,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
48,Birmingham,33.64139000000006,-86.69831499999998,35215,189917.02,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
49,Blount Springs,33.520680000000034,-86.81175999999996,35079,20285.71,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
50,Blountsville,33.520680000000034,-86.81175999999996,35031,202779.7,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
51,Brent,33.520680000000034,-86.81175999999996,35034,211565.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
52,Brierfield,33.520680000000034,-86.81175999999996,35035,373950.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
53,Brighton,33.44012731247806,-86.93374787180235,35020,7500.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
54,Brookwood,33.520680000000034,-86.81175999999996,35111,550000.0,3,Theater,Bar,American Restaurant,Lounge,Hotel,Low level,Sports and Recreations
