City,Zip_Code,Price
"""Alabaster""",35007,229900
"""Alabaster""",35007,229900
"""Alabaster""",35007,229900
"""Alabaster""",35007,228900
"""Alabaster""",35007,227900
"""Alabaster""",35007,227810
"""Alabaster""",35007,227600
"""Alabaster""",35007,225900
"""Alabaster""",35007,224000
"""Alabaster""",35007,221400
"""Alabaster""",35007,205000
"""Alabaster""",35007,205000
"""Alabaster""",35007,200000
"""Alabaster""",35007,200000
"""Alabaster""",35007,199900
"""Alabaster""",35007,199900
"""Alabaster""",35007,199900
"""Alabaster""",35007,199500
"""Alabaster""",35007,199000
"""Alabaster""",35007,199000
"""Alabaster""",35007,198000
"""Alabaster""",35007,198000
"""Alabaster""",35007,197000
"""Alabaster""",35007,197000
"""Alabaster""",35007,195000
"""Alabaster""",35007,194900
"""Alabaster""",35007,194500
"""Alabaster""",35007,190000
"""Alabaster""",35007,190000
"""Alabaster""",35007,187900
"""Alabaster""",35007,184999
"""Alabaster""",35007,182900
"""Maylene""",35007,179900
"""Alabaster""",35007,179000
"""Bessemer""",35020,1700000
"""McCalla""",35020,380000
"""McCalla""",35020,337273
"""McCalla""",35020,334498
"""Bessemer""",35020,295900
"""Bessemer""",35020,289000
"""McCalla""",35020,250900
"""McCalla""",35020,249900
"""McCalla""",35020,249900
"""Bessemer""",35020,239900
"""McCalla""",35020,228870
"""Bessemer""",35020,225000
"""Bessemer""",35020,224900
"""Bessemer""",35020,220000
"""Bessemer""",35020,213000
"""Bessemer""",35020,194000
"""Bessemer""",35020,185000
"""Bessemer""",35020,180000
"""Bessemer""",35020,160000
"""Bessemer""",35020,150000
"""Bessemer""",35020,149900
"""Bessemer""",35020,149000
"""Bessemer""",35020,148000
"""Bessemer""",35020,147900
"""Bessemer""",35020,143000
"""Bessemer""",35020,135900
"""Bessemer""",35020,129900
"""Bessemer""",35020,115000
"""Bessemer""",35020,105000
"""Bessemer""",35020,99500
"""Bessemer""",35020,95000
"""Bessemer""",35020,94600
"""Bessemer""",35020,89000
"""Bessemer""",35020,85000
"""Bessemer""",35020,80000
"""Bessemer""",35020,80000
"""Bessemer""",35020,80000
"""Bessemer""",35020,80000
"""Bessemer""",35020,75000
"""Bessemer""",35020,75000
"""Bessemer""",35020,75000
"""Bessemer""",35020,69900
"""Bessemer""",35020,68000
"""Bessemer""",35020,66500
"""Bessemer""",35020,66000
"""Lipscomb""",35020,65000
"""Bessemer""",35020,65000
"""Bessemer""",35020,64900
"""Bessemer""",35020,60000
"""Bessemer""",35020,59900
"""Bessemer""",35020,57900
"""Bessemer""",35020,54000
"""Bessemer""",35020,50000
"""Bessemer""",35020,50000
"""Bessemer""",35020,46500
"""Bessemer""",35020,45500
"""Bessemer""",35020,45000
"""Bessemer""",35020,44000
"""Bessemer""",35020,43000
"""Bessemer""",35020,34900
"""Bessemer""",35020,34400
"""Bessemer""",35020,34300
"""Bessemer""",35020,33000
